State,Wells Fracked,Hydrocholoric Acid Used (thousand pounds),Methanol Used (thousand pounds),Wastewater Produced in 2014 (million gallons),Water Consumed (million gallons),Methane Released from Well Completion in 2014 (million pounds),Land Disturbed (acres),Carbon Dioxide Emissions (metric tons),Earthquakes - Baseline (2000),Earthquakes - Current (2020),Fracking Accidents,Total Employed in Fracking
Alabama,149,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,2,5,0,400
Alaska,221,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,3520
American Samoa,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,Data Unavailable
Arizona,2,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,3,17,0,0
Arkansas,2873,142406,2025,Data Unavailable,11290,144,22858,6200000,3,19,2,670
California,3744,1034,489,1057,237,140,15940,Data Unavailable,1116,1234,12,4740
Colorado,17392,68663,10042,3139,19142,395,105866,23000000,7,12,25,8670
Commonwealth of the Northern Mariana Islands,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,Data Unavailable
Connecticut,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,0
Delaware,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,0
District of Columbia,1,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,0
Florida,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,0
Georgia,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,1,2,0,0
Guam,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,Data Unavailable
Hawaii,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,0
Idaho,1,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,25,1017,0,0
Illinois,3,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,1,0,0,910
Indiana,2,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,4,0,0,140
Iowa,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,0
Kansas,781,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,500000,1,33,0,1980
Kentucky,6,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,1,2,0,510
Louisiana,3271,15136,2045,Data Unavailable,4880,50,16010,2900000,0,0,5,6300
Maine,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,4,0,0,0
Maryland,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,0,0,0
Massachusetts,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,1,1,0,0
Michigan,31,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,1,4,480
Minnesota,0,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,0,45,0,0
Mississippi,137,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,11000,0,0,2,510
Missouri,1,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,2,10,0,0
Montana,686,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,300000,23,60,3,640
