OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,State,Metric_tons_of_carbon_dioxide_equivalent,Shape_Length,Shape_Area
"1","39","01085497",0400000US39,"39",OH,Ohio,"00","105828882568","10268850702",Ohio,"420000",15.5785004462697,11.3321205778473
"2","42","01779798",0400000US42,"42",PA,Pennsylvania,"00","115884442321","3394589990",Pennsylvania,"8300000",16.5632812341146,12.5374390761494
"3","05","00068085",0400000US05,"05",AR,Arkansas,"00","134768872727","2962859592",Arkansas,"6200000",17.6550348172482,13.5914043620925
"4","35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",New Mexico,"1700000",23.5522736986879,30.8928005042941
"5","48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",Texas,"40000000",45.047435829785,65.7785953064599
"6","51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",Virginia,"120000",24.3380858352463,10.7765278854719
"7","47","01325873",0400000US47,"47",TN,Tennessee,"00","106802728188","2350123465",Tennessee,,20.7075564916739,10.8921371779491
"8","22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",Louisiana,"2900000",22.176979313219,11.8564021699678
"9","30","00767982",0400000US30,"30",MT,Montana,"00","376962738765","3869208832",Montana,"300000",33.4617641590905,45.0530804524609
"10","20","00481813",0400000US20,"20",KS,Kansas,"00","211755344060","1344141205",Kansas,"500000",21.0356537826089,22.0136182094336
"11","49","01455989",0400000US49,"49",UT,Utah,"00","212886221680","6998824394",Utah,"1700000",19.9974727461191,22.9773747959939
"12","38","01779797",0400000US38,"38",ND,North Dakota,"00","178707534813","4403267548",North Dakota,"6500000",20.6334850155891,21.8419930440768
"13","28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",Mississippi,"11000",17.3494952718617,11.8669308130611
"14","08","01779779",0400000US08,"08",CO,Colorado,"00","268422891711","1181621593",Colorado,"23000000",22.0173224071385,28.036515371372
